Symbol,Company,Market,SET50,SET100,SETHD,Industry,Sector,Address,Zip code,Tel,Fax,Website
UT,UNION TEXTILE INDUSTRIES PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Fashion,"1828 SUKHUMVIT ROAD, KHWAENG PHRAKHANONG TAI, KHET PHRAKHANONG Bangkok",10260,0-2311-5111-9,0-2332-3123,www.ut.co.th
UTP,UNITED PAPER PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Paper & Printing Materials,"113 - 115 RIM-KLONG-PRAPA ROAD, BANG SUE Bangkok",10800,0-2910-2700-8,0-2910-2709,www.unitedpaper.co.th
UV,UNIVENTURES PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Property Development,"22nd FLOOR, PARK VENTURES ECOPLEX 57 WIRELESS ROAD, LUMPINI, PATUMWAN Bangkok",10330,0-2643-7100,0-2255-9418,www.univentures.co.th
UVAN,UNIVANICH PALM OIL PUBLIC COMPANY LIMITED,SET,False,False,False,Agro & Food Industry,Agribusiness,"258 AOLUK-LAEMSAK ROAD, P.O. BOX 8-9 AOLUEK Krabi",81110,0-7568-1116,-,www.univanich.com
UWC,UA WITHYA PUBLIC COMPANY LIMITED,mai,False,False,False,Resources,-,"No.247 Romklow Road, Saensaeb, Minburi Bangkok",10510,0-2543-9020-8,0-2543-9029,www.uwc.co.th
VARO,VAROPAKORN PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Industrial Materials & Machinery,"181 SOI AMON, NANGLINJI ROAD, CHONGNONSI, YAN NAWA Bangkok",10120,"0-2213-2514-7, 0-2231-2544",0-2287-2031,http://www.varopakorn.com
VCOM,VINTCOM TECHNOLOGY PUBLIC COMPANY LIMITED,mai,False,False,False,Technology,-,"159/21 Sermmitr Tower, 14th Floor, Room 1401, Sukhumvit 21 (Asok) Road, Khlong Toei Nua, Watthana Bangkok",10110,0-2661-7979,0-2661-7969,www.vintcom.co.th
VGI,VGI GLOBAL MEDIA PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Media & Publishing,"9th FLOOR, TST TOWER, 21 VIPHAVADI-RANGSIT ROAD, CHOMPHON, CHATUCHAK Bangkok",10900,0-2273-8884,0-2273-8883,www.vgi.co.th
VI,VENTURE INCORPORATION PUBLIC COMPANY LIMITED,SET,False,False,False,-,Companies Under Rehabilitation,"544 Soi Ratchadaphisek 26, Ratchadaphisek Road, Samsennok, Huai Khwang Bangkok",10310,0-2541-4145-46,0-2541-4147-48,http://www.ventureinc.co.th
VIBHA,VIBHAVADI MEDICAL CENTER PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Health Care Services,"51/3 NGAMWONGWAN RD., LATYAO, JATUJAK Bangkok",10900,"0-2579-9680-4, 0-2561-1258-67, 0-2941-2800","0-2561-1466, 0-2561-1462",http://www.vibhavadi.com
VIH,SRIVICHAIVEJVIVAT PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Health Care Services,"74/5 Moo 4 Phetkasem Road, Omnoi Subdistrict, Krathumbaen District Samut Sakhon",74130,0-2431-0070 áÅÐÊÒÂ´èÇ¹ 1792,0-2431-1404,http://www.vichaivej.com
VL,V.L. ENTERPRISE PUBLIC COMPANY LIMITED,mai,False,False,False,Services,-,"41 Asoke-Dindaeng Road., Makkasan Rachadewee Bangkok",10400,0-2254-6604,0-2254-8749,-
VNG,VANACHAI GROUP PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Construction Materials,"2/1 WONGSAWANG ROAD, WONGSAWANG, BANGSUE Bangkok",10800,"0-2585-4900-3, 0-2913-2180-9",0-2587-9556,www.vanachai.com
VNT,VINYTHAI PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Petrochemicals & Chemicals,"No.11, Q. House Sathorn Building, 18th Floor, South Sathon Road, Khwaeng Thung Maha Mek, Khet Sathon Bangkok",10120,0-2030-6800,0-2030-6801,www.vinythai.co.th
VPO,VICHITBHAN PALMOIL PUBLIC COMPANY LIMITED,SET,False,False,False,Agro & Food Industry,Agribusiness,"2044 Chavananand Building, Petchburi Road, Bang Kapi, Huai Khwang Bangkok",10240,0-2314-4101-5,0-2319-7989,www.vcbpalmoil.com
VRANDA,VERANDA RESORT PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Tourism & Leisure,"178/7 Ratchadaphisek Road, Chankasem, Chatuchak Bangkok",10900,0-2513-3003,0-2513-6844,https://www.verandaresort.com/
WACOAL,THAI WACOAL PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Fashion,"132 Soi Charoenrat 7, BANGKHLO, BANG KHO LAEM Bangkok",10120,"0-2289-3100-9, 0-2689-8300",0-2291-1788,www.wacoal.co.th
WAVE,WAVE ENTERTAINMENT PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Media & Publishing,"MALEENONT TOWER 15th FLOOR NO.3199, RAMA IV ROAD, KWAENG KLONGTON, KHET KLONGTEO Bangkok",10110,0-2665-6705,0-2665-6750,http://www.wave-groups.com
WG,WHITE GROUP PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Petrochemicals & Chemicals,"75 SOI RUBIA, SUKHUMVIT 42 RD, PHRA KHANONG, KHLONG TOEI Bangkok",10110,"0-2390-2445-54, 0-2391-7648-53","0-2381-2972, 0-2381-2975",www.whitegroup.co.th
WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,SET,True,True,False,Property & Construction,Property Development,"1121 Moo 3, Theparak Rd., T.Theparak A. Muang Samut Prakarn",10270,0-2753-3750,0-2753-2750,www.wha.co.th
