date,EUR,CNY,JPY,GBP,THB
2013-09-18,0.7489514679,6.1211803475,98.996405033,0.6259736369,31.659676453
2013-09-19,0.738279808,6.119379845,98.9959394611,0.6216315984,30.9597637505
2013-09-20,0.739973361,6.1204676632,99.5782151843,0.6242415273,31.0196832914
2013-09-23,0.7403020432,6.1185963873,98.8969499556,0.6227050637,31.2762807225
2013-09-24,0.7422251911,6.1248422771,98.6565724041,0.6266681511,31.33971647
2013-09-25,0.740521327,6.1204087678,98.5930094787,0.6232597749,31.2877665877
2013-09-26,0.7407956145,6.120601526,98.8295429291,0.6236017483,31.2097192385
2013-09-27,0.7387161114,6.1185639359,98.4560833272,0.6205215336,31.2801950211
2013-09-30,0.7404664939,6.1195853388,97.578674565,0.6190670122,31.2950758978
2013-10-01,0.7377895824,6.1215877232,97.8308986277,0.6156854065,31.1598052236
2013-10-02,0.739918609,6.1211986681,97.4916759156,0.6171661117,31.2889382168
2013-10-03,0.7356186553,6.1207150213,97.6975136089,0.6174782992,31.2799764602
2013-10-04,0.7356727728,6.1202089311,97.1308761863,0.6230412712,31.2999337895
2013-10-07,0.7368110816,6.1195844385,96.8611847922,0.6216475096,31.3822575892
2013-10-08,0.7365939894,6.123526812,97.1862109605,0.6206909252,31.3531231585
2013-10-09,0.739918609,6.1197928228,97.3362930078,0.6262671106,31.4376618572
2013-10-10,0.738989063,6.1168341709,97.8199822643,0.6267366243,31.3700857227
2013-10-11,0.73713696,6.1185316232,98.3193277311,0.6258292791,31.2796697626
2013-10-14,0.7372456503,6.106605721,98.1937481569,0.6254054851,31.3049248009
2013-10-15,0.7411250278,6.1019788038,98.4881049433,0.6272511673,31.279922923
2013-10-16,0.7374087457,6.1002138485,98.3555784972,0.623774058,31.2749797213
2013-10-17,0.7319572537,6.0971307276,97.818767384,0.6204069682,31.0203484117
2013-10-18,0.7307804735,6.0969745688,97.7272727273,0.6176191172,31.0501315405
2013-10-21,0.731689471,6.0956318139,98.1707763225,0.6193751372,31.096802517
2013-10-22,0.7313149042,6.0933157818,98.3764809127,0.6198625128,31.1627906977
2013-10-23,0.7271669575,6.0858784177,97.4040139616,0.619255381,31.1700116347
2013-10-24,0.7243752264,6.0846070264,97.2980804057,0.6183991307,31.1379934806
2013-10-25,0.7258474269,6.0836176236,97.3724323147,0.618349423,31.096755462
2013-10-28,0.725478816,6.0858966918,97.6857225769,0.6191236216,31.0628264655
2013-10-29,0.7263219059,6.0905723417,97.9662986636,0.6222399768,31.0597036607
2013-10-30,0.7270083606,6.0945837877,98.2260996001,0.6222464558,31.0498000727
2013-10-31,0.7330840847,6.0925885199,98.2259365149,0.6232680888,31.1282164064
2013-11-01,0.7404664939,6.1000370233,98.4079970381,0.6266938171,31.1988152536
2013-11-04,0.7404116689,6.1018066045,98.6820672294,0.6260921072,31.2779505405
2013-11-05,0.7410701052,6.0975989329,98.2584852527,0.6227212094,31.2398102861
2013-11-06,0.7398091292,6.0920322557,98.6387512022,0.6216616113,31.265073611
2013-11-07,0.7482229704,6.0920314254,98.7654320988,0.6225963337,31.3280957725
2013-11-08,0.7445461991,6.0920259102,97.9673888765,0.6218822128,31.3401831584
2013-11-11,0.7466029565,6.0913095416,99.1936688069,0.6257279379,31.6253546364
2013-11-12,0.7444907683,6.0917957117,99.6649791543,0.628871352,31.5798094104
2013-11-13,0.7454342154,6.0928065598,99.3440178904,0.6260901975,31.5803205367
2013-11-14,0.7442691277,6.0916195296,99.9255730872,0.6230649003,31.5897588568
2013-11-15,0.7429420505,6.0924962853,100.2897473997,0.6223625557,31.5950965825
2013-11-18,0.7398091292,6.0907005992,100.0443885478,0.6205518976,31.5802323001
2013-11-19,0.7406310176,6.0934676344,99.9037179677,0.6210191083,31.5923566879
2013-11-20,0.7392622163,6.0940341539,99.9482516449,0.6192429955,31.6699933466
2013-11-21,0.742280285,6.0927850356,100.8239311164,0.619804038,31.8126484561
2013-11-22,0.7397544015,6.0944666371,101.1540168664,0.6172510726,31.8353306702
2013-11-25,0.739973361,6.0932366435,101.7981352671,0.6177297617,31.9801687139
2013-11-26,0.7381708127,6.0921237174,101.3803794198,0.6188085923,32.0831180335
2013-11-27,0.7355104442,6.0928949691,101.8167107973,0.613452486,32.1197411003
2013-11-28,0.7357268982,6.0924808711,102.3101824603,0.6122351383,32.1233078281
2013-11-29,0.7346998751,6.0947762839,102.2775696128,0.611821321,32.0652413489
2013-12-02,0.7387706856,6.0933067376,102.8073286052,0.6102615248,32.1402186761
