id,first_name,last_name,gender,film_count
299764,John,Marley,M,1
299922,Akaji,Maro,M,1
300405,Kenneth,Mars,M,1
300498,"Charles (II)",Marsh,M,1
300701,"James (I)",Marshall,M,1
300784,"Robert (II)",Marshall,M,1
301208,B.J.,Martin,M,1
301244,"Brad (I)",Martin,M,1
301555,"John C.",Martin,M,1
301563,"Johnny (I)",Martin,M,1
301810,"Steve (I)",Martin,M,1
302252,Lou,"Martini Jr.",M,1
302307,Al,Martino,M,1
302319,"John (I)",Martino,M,1
304444,Owen,Masterson,M,1
304920,"Tim (I)",Matheson,M,1
304966,"John M.",Mathews,M,2
305678,Walter,Matthau,M,1
305705,Al,Matthews,M,1
306573,Brad,Mavis,M,1
306623,James,Mawhinney,M,1
306790,"Paul (I)",Maxwell,M,1
306942,"Seth Michael",May,M,1
307200,"Peter (II)",Mayhew,M,1
307236,"Jeff (I)",Maynard,M,1
307547,Stan,Mazin,M,1
308329,Holt,McCallany,M,1
308366,"Rick (I)",McCallum,M,1
308540,"Eugene (III)",McCarthy,M,1
308572,"Kevin (I)",McCarthy,M,1
308631,"Sean (I)",McCartin,M,1
308971,"John J.",McCloy,M,1
309010,"Marc (I)",McClure,M,1
309156,"John (I)",McConnell,M,1
309251,"J. Patrick",McCormack,M,1
309501,Paul,McCrane,M,1
309571,Alex,McCrindle,M,1
309697,Grant,McCune,M,1
310030,"Mac (I)",McDonald,M,1
310474,"Colin (I)",McFarlane,M,1
310708,Bruce,McGill,M,1
310765,"John C.",McGinley,M,1
310769,Sean,McGinley,M,1
310781,Russ,McGinn,M,1
310868,Patrick,McGoohan,M,1
310883,Barry,McGovern,M,1
310903,"Michael (I)",McGovern,M,1
311597,Tim,McIntyre,M,1
311663,"David (II)",McKay,M,1
311756,Michael,McKean,M,1
311828,Mark,McKeel,M,1
312231,Ray,McKinnon,M,2
312299,Rod,McKuen,M,1
312623,Errol,McLendon,M,1
312773,Liam,McMahon,M,1
312806,"Don (I)",McManus,M,1
312961,Patrick,McMullen,M,1
313126,"Pat (I)",McNamara,M,1
313131,"Robert (I)",McNamara,M,1
313569,"Michael (I)",McShane,M,1
313583,Gerard,McSorley,M,1
313916,Nick,Meaney,M,1
313930,Randy,Means,M,1
313969,Dean,Measor,M,1
314365,Frank,Medrano,M,1
315810,Larry,Melton,M,1
316965,Larry,Merchant,M,1
317829,Jim,Meskimen,M,1
318099,Mark,Metcalf,M,1
318673,"Eric (II)",Meyers,M,1
318718,Rusty,Meyers,M,1
318797,Lou,Meza,M,1
319724,Patrick,Mickler,M,1
319795,Clark,Middleton,M,1
319868,Hikaru,Midorikawa,M,1
320748,Andy,Milder,M,1
320846,Mack,Miles,M,1
320960,Tomas,Milian,M,1
321300,"Chris (III)",Miller,M,1
321301,"Chris (VII)",Miller,M,1
321383,"Dick (I)",Miller,M,1
321731,"Matt (II)",Miller,M,1
322384,Zeke,Mills,M,1
322781,Kazuyoshi,Minamimagoe,M,1
323181,Willie,Minor,M,1
323403,Evan,Mirand,M,1
324334,"Red (II)",Mitchell,M,1
325101,"Robert (I)",Mobbs,M,1
325748,John,Moio,M,1
327340,Lenny,Montana,M,1
327456,Sal,Monte,M,1
328248,Jeff,Moon,M,1
328405,Bennie,Moore,M,1
330833,Yoshiyuki,Morishita,M,1
332260,"Ryan B.",Moschetti,M,1
332724,Mohammed,Mossadegh,M,1
332893,Akira,Motomura,M,1
334370,Peter,Mullan,M,1
